volid,filename,title,enumcron
uc1.b2956778,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.21)
mdp.39015034576135,booklistandsubscription,Booklist and Subscription Books Bulletin,
uc1.b2956784,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.27 1930-31)
uc1.b2956786,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.29 1932-33)
uc1.b3054050,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.58)
uc1.b2958018,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.38 1941-42)
uc1.$b408629,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.42)
mdp.39015033665087,booklistandsubscription,Booklist and Subscription Books Bulletin,
uc1.b2956772,booklistandsubscription,Booklist and Subscription Books Bulletin,(v 15 1918-19)
uc1.b2956777,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.20 (1923-24))
uc1.b2958017,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.37 1940-41)
uc1.b2958026,booklistandsubscription,Booklist and Subscription Books Bulletin,(v 51 1954-56)
uc1.b2958013,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.33 1936-37)
uc1.$b627371,booklistandsubscription,Booklist and Subscription Books Bulletin,
uc1.b2958016,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.36 1939-40)
uc1.b2958023,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.45-46 1948-50)
mdp.39015078261230,brd,Book Review Digest,(v.32 1936)
uiug.30112013682262,brd,Book Review Digest,(v.7(1911-1912))
uc1.32106019610424,brd,Book Review Digest,(1927)
mdp.39015078261008,brd,Book Review Digest,(v.9 1913)
nyp.33433082016563,brd,Book Review Digest,
uiug.30112013681603,brd,Book Review Digest,(v.1(1905-1906))
uc1.32106019850327,brd,Book Review Digest,(1917)
uiug.30112013682148,brd,Book Review Digest,(v.6(1910-1911))
pst.000052260360,brd,Book Review Digest,
inu.30000114364403,brd,Book Review Digest,
inu.30000114364353,brd,Book Review Digest,
mdp.39015078261636,brd,Book Review Digest,(v.70 1974)
mdp.39015078261883,brd,Book Review Digest,(v.92 1996)
mdp.39015078261891,brd,Book Review Digest,(v.93 1997)
uc1.32106019610416,brd,Book Review Digest,(1926)
mdp.39015078261040,brd,Book Review Digest,(v.13 1917)
mdp.39015078261933,brd,Book Review Digest,(v.97 2001)
mdp.39015078261289,brd,Book Review Digest,(v.37 1941)
mdp.39015078261685,brd,Book Review Digest,(v.71 1975)
mdp.39015078261842,brd,Book Review Digest,(v.88 1992)
uc1.32106019610390,brd,Book Review Digest,(1924)
inu.30000114364338,brd,Book Review Digest,
nyp.33433082016589,brd,Book Review Digest,
uc1.32106019610663,brd,Book Review Digest,(1957)
pst.000031220088,brd,Book Review Digest,
nyp.33433082016753,brd,Book Review Digest,
uc1.32106019850210,brd,Book Review Digest,(1906)
uc1.32106019848347,brd,Book Review Digest,(1963)
nyp.33433082016571,brd,Book Review Digest,
mdp.39015078261370,brd,Book Review Digest,(v.46 1950)
uc1.32106019850251,brd,Book Review Digest,(1910)
uc1.32106020065188,brd,Book Review Digest,
uiug.30112013681611,brd,Book Review Digest,(v.10(1914-1915))
mdp.39015078261016,brd,Book Review Digest,(v.10 1914)
mdp.39015078261750,brd,Book Review Digest,(v.78 1982)
uc1.32106019610408,brd,Book Review Digest,(1925)
uc1.32106019610523,brd,Book Review Digest,(1939)
inu.30000114363819,brd,Book Review Digest,
uc1.32106019610507,brd,Book Review Digest,(1937)
inu.30000114364247,brd,Book Review Digest,
