"volid"	"filename"	"title"	"enumcron"	"year"
"mdp.39015057977368"	"brd"	"Book Review Digest"	"(2003)"	
"mdp.39015078261651"	"brd"	"Book Review Digest"	"(1905-1974 index v.2)"	
"mdp.39015078261834"	"brd"	"Book Review Digest"	"(v.86 1990)"	1990
"uiug.30112013681918"	"brd"	"Book Review Digest"	"(v.4(1908-1909))"	
"uiug.30112013681827"	"brd"	"Book Review Digest"	"(v.3(1907-1908))"	
"nyp.33433082016548"	"brd"	"Book Review Digest"		
"uc1.32106019850285"	"brd"	"Book Review Digest"	"(1913)"	
"uc1.32106019850269"	"brd"	"Book Review Digest"	"(1911)"	
"uc1.32106019850202"	"brd"	"Book Review Digest"	"(1905)"	
"mdp.39015078261396"	"brd"	"Book Review Digest"	"(v.48 1952)"	
"mdp.39015078261776"	"brd"	"Book Review Digest"	"(v.80 1984)"	1984
"mdp.39015078261941"	"brd"	"Book Review Digest"	"(v.98 2002)"	2002
"uiug.30112013681710"	"brd"	"Book Review Digest"	"(v.2(1906-1907))"	
"uiug.30112013682023"	"brd"	"Book Review Digest"	"(v.5(1909-1910))"	
"inu.30000114364262"	"brd"	"Book Review Digest"		
"uiug.30112013681645"	"brd"	"Book Review Digest"	"(v.13(1917-1918))"	
"mdp.39015062055200"	"brd"	"Book Review Digest"	"(2004)"	
"pst.000052260292"	"brd"	"Book Review Digest"		
"mdp.39015078260976"	"brd"	"Book Review Digest"	"(v.6 1910)"	
"uc1.32106019850335"	"brd"	"Book Review Digest"	"(1918)"	
"mdp.39015078261917"	"brd"	"Book Review Digest"	"(v.95 1999)"	
"mdp.39015079607464"	"brd"	"Book Review Digest"		
"uc1.32106019850319"	"brd"	"Book Review Digest"	"(1916)"	
"uiug.30112013681652"	"brd"	"Book Review Digest"	"(v.14(1918-1919))"	
"uc1.32106019850350"	"brd"	"Book Review Digest"	"(1920)"	
"uiug.30112013681660"	"brd"	"Book Review Digest"	"(v.15(1919-1920))"	
"nyp.33433082016522"	"brd"	"Book Review Digest"		
"nyp.33433082016530"	"brd"	"Book Review Digest"		
"mdp.39015078261024"	"brd"	"Book Review Digest"	"(v.11 1915)"	
"mdp.39015078261909"	"brd"	"Book Review Digest"	"(v.94 1998)"	
"mdp.39015066156806"	"brd"	"Book Review Digest"	"(2006)"	2006
"inu.30000114364346"	"brd"	"Book Review Digest"		
