author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
WathenBartlett Vanda	B8612	{6799466, 8885287}		{'nyp.33433075764336'}	{'English fiction'}	The gap in the garden	
Croker B M Bithia Mary	B1579	{3184008, 9219723}		{'nyp.33433074947429'}	{'English fiction'}	Miss Balmaines past	
Lefroy Ella Napier	B4823	{8857505, 6814290, 6763044}		{'nyp.33433074877980'}	{'English fiction'}	The mans cause	
Vachell Horace Annesley	B8369	{3169556}		{'nyp.33433075762215', 'uc2.ark+=13960=t1fj2n09k'}	{'English fiction'}	John Charity	
Gallichan Walter M Walter Matthew	B3096	{3185468}		{'nyp.33433074855358'}	{'English fiction'}	The conflict of Owen Prytherch	
Yates Edmund	B9010	{9446760}		{'nyp.33433022469658'}	{'English fiction'}	Broken to harness a story of English domestic life	
Spettigue H H	B7482	{8840987}		{'nyp.33433075751507'}	{'English fiction'}	The heritage of Eve	
HarrisBurland J B John Burland	B3652	{8921322, 6831580}		{'nyp.33433074850888'}	{'English fiction'}	Love the criminal	
MarshCaldwell Anne	B5846	{8993800, 4415626, 4986599, 4975141, 8437743}		{'uiuo.ark+=13960=t46q2gj8k', 'uiuo.ark+=13960=t8hd8c284', 'uiuo.ark+=13960=t8x92qs9k'}	{'English fiction'}	Emilia Wyndham	
Ouida	B6287	{9426557}		{'nyp.33433074964010', 'nyp.33433074964028'}	{'English fiction'}	Held in bondage or Granville de Vigne  A tale of the day	
White Percy	B8628	{6797056, 3149506, 8853877}		{'nyp.33433075767883'}	{'English fiction'}	The heart of the dancer	
Reynolds Baillie Mrs	B6983	{9459025, 3174605}		{'nyp.33433075741961'}	{'English fiction'}	The girl from nowhere	
Korolenko Vladimir Galaktionovich	B4600	{3150457}		{'uc1.b4398093'}	{'Translations into English', 'Russian fiction', 'Short stories, English', '19th century', 'Short stories, Russian', 'English fiction'}	The Saghalien convict and other stories	
WilsonBarrett Alfred	B8589	{8911485}	{'Novel'}	{'nyp.33433074936273'}	{'English fiction'}	The house over the way	
Linklater Eric	B4891	{2486378}		{'uc1.$b795542'}	{'Scottish authors', 'English fiction', 'Scottish fiction'}	Magnus Merriman	
Marryat Frederick	B5426	{8422590}		{'nyp.33433074881032'}	{'English fiction'}	Valerie an autobiography	
Phillpotts Eden	B6483	{6868506}		{'mdp.39015063946605'}	{'English fiction'}	The joy of youth	
Marriott Charles	B5467	{6835635, 8900070}		{'nyp.33433074895800'}	{'English fiction'}	Mrs Alemeres elopement	
Cunningham Allan	B1461	{9149739}		{'njp.32101068166592', 'njp.32101068166618'}	{'English fiction'}	Lord Roldan a romance	
Kavanagh Julia	B4488	{8462793, 8468692, 9450847}		{'mdp.39015005261527'}	{'English fiction', 'Women authors', 'History and criticism', 'Authors, English'}	English women of letters biographical sketches	
Yonge Charlotte M Charlotte Mary	B9019	{8771311}		{'nyp.33433075861819', 'uiuo.ark+=13960=t6n01t737'}	{'English fiction'}	The young stepmother or A chronicle of mistakes	
Gilbert William	B3104	{8526629}		{'nyp.33433074856646'}	{'English fiction'}	Them boots	
Buchanan Robert Williams	B644	{6189792}		{'nyp.33433074930995'}	{'English fiction'}	Effie Hetherington	
Maxwell Gerald	B5438	{3191728, 6825216, 9046240}		{'nyp.33433074893052'}	{'English fiction'}	The fear of life	
Coleridge Mary E Mary Elizabeth	B1574	{9214080, 6766486, 6761095}		{'nyp.33433074947247'}	{'English fiction'}	The king with two faces	
