author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Cooper James Fenimore	B1333	{4970720}		{'hvd.32044097914014', 'hvd.hw3jdp'}	{'Antirent War, N.Y., 1839-1846', '1775-1865', 'History', 'New York (State)'}	Satanstoe or The Littlepage manuscripts	
Zilahy Lajos	B9074	{3238186}		{'uc1.b3456907'}	{'1872-1945', 'Prisoners and prisons', 'History', 'World War, 1914-1918'}	Two prisoners	
Cable George Washington	B1353	{6733304}		{'mdp.39015005354504'}	{'History', 'Civil War, 1861-1865'}	Strange true stories of Louisiana	
Finnemore John	B2708	{3280563}		{'mdp.39076002660541'}	{'Turkey', 'Adventure stories', 'Boys', 'Ethnic relations', 'Juvenile fiction', 'Revolutions'}	A boy scout in the Balkans	
Blackmore R D Richard Dooddridge	B960	{8519597}		{'uc2.ark+=13960=t73t9h50s'}	{'Peninsular War, 1807-1814'}	Alice Lorraine	
Parker Gilbert Sir	B6695	{8840502}		{'uc2.ark+=13960=t8cf9s57f'}	{'To 1763 (New France)', 'Canada', 'History', 'United States', 'French and Indian War, 1754-1763'}	The seats of the mighty	
Churchill Winston Sir	B1685	{8869113, 3159403}		{'uc1.b3962029'}	{'Revolution, 1775-1783', 'History'}	Richard Carvel	
Boothby Guy Newell	B487	{6758348}		{'njp.32101066120153'}	{'South African War, 1899-1902'}	A cabinet secret	
James Lionel	B4316	{6798780}		{'nyp.33433082442447'}	{'Russo-Japanese War, 1904-1905'}	The yellow war	
Knight Eric	B4486	{3204378}		{'mdp.39015000625262'}	{'World War, 1939-1945'}	This above all	
Snaith J C John Collis	B7717	{2437219}		{'uc2.ark+=13960=t6sx66845'}	{'Great Britain', 'History', 'Revolution of 1688'}	Mistress Dorothy Marvin	
Lever Charles James	B4900	{8984981, 5012294}		{'uc1.b3324275', 'uc2.ark+=13960=t1vd6qb69', 'uc1.b3324274'}	{'Peninsular War, 1807-1814', '823L57C'}	Charles OMalley the Irish dragoon	
Grier Sydney C	B3200	{8894040, 3185273}		{'uc1.$b783871'}	{'Hastings, Warren', '1732-1818'}	The great proconsul The memoirs of Mrs Hester Ward	
Tilsley W V	B8150	{3237040}		{'uc1.$b742633'}	{'World War, 1914-1918'}	Other ranks	
Crockett S R Samuel Rutherford	B2039	{3167331}	"{'History', ""Publishers' cloth bindings (Binding)"", 'United States', 'War stories', 'Historical fiction', 'Pictorial cloth bindings (Binding)'}"	{'nyp.33433074949847'}		The men of the mountain	
Kingsford A R Alfred Reginald	B4482	{3237520}		{'inu.32000011239359'}	{'World War, 1914-1918', 'Aerial operations'}	Night raiders of the air  being the experiences of a night flying pilot who raided Hunland on many dark nights during the war	
Wright Alfred	B8772	{8746335}		{'uc2.ark+=13960=t29884q9b'}	{'Description and travel', 'Serbo-Turkish War, 1876', 'Serbia'}	Adventures in Servia	
Ford Thomas J	B2665	{3164355}		{'loc.ark+=13960=t2988g55c'}	{'Wisconsin Infantry Regiment, 24th (1862-1865)', 'Regimental histories', 'Personal narratives', 'United States', 'Army', 'Civil War, 1861-1865', 'History'}	With the rank and file	
Roberts Margaret	B7137	{8507622, 8766574}		{'uc2.ark+=13960=t9280bf4j'}	{'Revolution, 1789-1799', 'France', 'History'}	Noblesse oblige	
Harris Joel Chandler	B3551	{6831959}		{'mdp.39015051142274'}	{'History', 'Civil War, 1861-1865'}	A little Union scout	
Stephens Robert Neilson	B7519	{9232322}		{'nyp.33433076021850'}	{'Revolution, 1775-1783', 'History'}	The continental dragoon a love story of Philipse manorhouse in 1778	
Harris Joel Chandler	B3752	{8879473, 6758300}	{'History'}	{'nyp.33433076088305'}	{'United States', 'History', 'War stories, American', 'Civil War, 1861-1865'}	On the wing of occasions being the authorized version of certain curious episodes of the late Civil War including the hitherto suppressed narrative of the kidnapping of President Lincoln	
Thackeray William Makepeace	B8193	{8647252}	{'Novel'}	{'uc2.ark+=13960=t42r3tw8p'}	{'George II, 1727-1760', '1811-1863', 'Dictionaries, indexes, etc', 'Thackeray, William Makepeace', 'French and Indian War, 1755-1763', 'Revolution, 1775-1783', 'History', 'French and Indian War, 1754-1763'}	The Virginians a tale of the last century	
Doyle Arthur Conan Sir	B2284	{6781457}		{'uc1.32106001934915'}	{'War stories, English', 'Social life and customs', 'Sports stories, English', '19th century'}	The green flag and other stories of war and sport	
Brady Cyrus Townsend	B799	{8895059}		{'uc1.b3322028'}	{'United States', 'History', 'Civil War, 1861-1865'}	A little traitor to the South a wartime comedy with a tragic interlude	
