author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Bulfinch Thomas	B1063	{3217311}		{'uva.x000467597'}	{'Mythology', 'Chivalry', 'Emperor', 'Romances', '742-814', 'Charlemagne', 'Folklore'}	King Arthur and his knights The Mabinogeon Hero myths of the British race		1867
Hall S C Mrs	B3759	{9435847}	{'Juvenile audience', 'Fairy tales'}	{'nyp.33433088074723'}	{'Fairy tales'}	The prince of the Fair family  a fairy tale		1867
Crane Thomas Frederick	B1348	{6714520}	{'Bibliographies'}	{'inu.39000005949453'}	{'Fairy tales', 'Legends', 'Italy'}	Italian popular tales		1885
Hodgetts Edith M S	B4075	{8776630, 6760511}		{'inu.39000005757880'}		Tales and legends from the lan		1890
Seton Ernest Thompson	B7293	{3182869}		{'bc.ark+=13960=t73v0ch30'}	{'Animals', 'Folklore'}	Animal heroes		1905
Knowles James Hinton	B4519	{6752078}	{'Dictionary', 'Bibliographies'}	{'njp.32101047328925'}	{'Kashmir', '(OCoLC)fst00930306', 'Folklore'}	Folktales of Kashmir		1888
Grinnell George Bird	B2979	{8800346}		{'inu.30000055882736'}	{'Indians of North America', '1840-1885', '(Frank Joshua)', 'Folklore', 'Indians', 'North, Frank J', 'Pawnee Indians', 'Pawnee language'}	Pawnee hero stories and folktales with notes on the origin customs and character of the Pawnee people		1889
Ralston William Ralston Shedden	B7109	{8707258}		{'uc2.ark+=13960=t6h12xp29', 'wu.89016623191'}	{'Folklore', 'Soviet Union', 'Ghosts'}	Russian folktales		1873
Caine William Ralph Hall	B1660	{3222100}		{'uc1.$b56342'}	{'Folklore', 'Celts'}	Annals of the Magic Isle		1926
Seton Ernest Thompson	B7371	{3168436}	{'Juvenile audience'}	{'mdp.39015039600534'}	{'Animals', 'Folklore', 'Anecdotes', 'Animals, Legends and stories of'}	Wild animals I have known and 200 drawings  zbeing the personal histories of Lobo Silverspot Raggylug Bingo the Springfield fox the Pacing mustang Wully snd Redruff		1898
Hall Alice Marples	B3997	{3181381}		{'wu.89094592698'}	{'Fairy tales', 'England'}	The one strand river and other fairy tales		1903
Hall S C Mrs	B4165	{9435847}	{'Juvenile audience', 'Fairy tales'}	{'nyp.33433088074723'}		The prince of the Fair family 		1867
Skimble Skamble	B7685	{2717128, 2722129, 8734243}		{'uc2.ark+=13960=t45q4sc0n'}	{'Fairy tales'}	Fairy tales		1869
Eells Elsie Spicer Mrs	B2625	{3213915}		{'wu.89094595055'}	{'Brazil', 'Fairy tales', 'Folklore'}	Fairy tales from Brazil how and why tales from Brazilian folklore		1917
Naaké John Theophilus	B6083	{8703040, 6638794}		{'inu.39000005763813'}	{'Serbia', 'Soviet Union', 'Poland', 'Czechoslovakia', 'Yugoslavia', 'Fairy tales'}	Slavonic fairy tales		1874
Busk Rachel Harriette	B334	{6660140}		{'inu.39000005794198'}	{'Rome', 'Legends', 'Italy'}	The folklore of Rome collected by word of mouth from the people		1874
Andersen H C Hans Christian	B204	{3163577, 3157659}		{'wu.89011230307'}	{'(OCoLC)fst00919916', 'Denmark', 'Fairy tales'}	Hans Andersens fairy tales  a new translation		1875
Pitt Ruth J	B6738	{3154024}		{'uva.x004101154'}	{'Mythology, Norse'}	The tragedy of the Norse gods		1893
Asbjørnsen Peter Christen	B11	{8634064, 8521913, 6759661}		{'inu.39000005818161'}	{'Folklore, Norway', 'Fairy tales', 'Norway', 'Folklore'}	Popular tales from the Norse		1859
